"Env","Rep","Block","Plot","Geno","FLOWER","Duration","PlantHt","CropBF","HI","YLD"
"UWS02-2","2","1",52,"IRAT212",69,97,90,739.57,32.6002,1.41949
"UWS02-2","2","1",53,"IR71524-44-1-1",85,115,120,3056.93,10.8257,2.14726
"UWS02-2","2","1",54,"WAB96-1-1",85,111,130,864.87,25.2871,1.58045
"UWS02-2","2","1",55,"IR55423-01",87,115,120,1064.03,37.4393,3.35964
"UWS02-2","2","2",57,"WAYRAREM",87,115,120,1302.3,29.3686,2.42315
"UWS02-2","2","2",58,"CT13377-4-2-M",76,109,120,1145.33,34.9302,1.53094
"UWS02-2","2","2",59,"IR65261-09-1-B",82,109,140,1227.33,28.6393,1.8836
"UWS02-2","2","2",60,"IRAT216",NA,NA,NA,NA,NA,NA
"UWS02-2","2","2",61,"IR66421-062-1-1-2",87,115,100,1220.67,25.8984,1.84525
"UWS02-2","2","2",62,"IR60080-46A",84,111,125,1055.6,29.7651,2.52315
"UWS02-2","2","2",64,"IRAT170",88,115,110,1063.43,27.3893,1.7386
"UWS02-2","2","2",65,"WAB181-18",73,109,120,619.13,30.7257,1.10738
"UWS02-2","2","2",66,"VANDANA",68,95,120,986.87,38.2456,1.98723
"UWS02-2","2","3",67,"CT6516-24-3-2",84,111,110,812.9,18.6124,1.13055
"UWS02-2","2","3",68,"C22",93,120,125,1162.13,32.578,3.02315
"UWS02-2","2","3",69,"AUS196",76,109,130,902.73,37.3237,2.32849
"UWS02-2","2","3",70,"MARAVILHA",70,97,125,950.57,38.3035,2.05515
"UWS02-2","2","3",72,"CT13382-8-3-M",80,109,100,599.73,34.5487,0.91083
"UWS02-2","2","3",73,"IR66417-18-1-1-1",95,122,120,1259.33,22.4193,1.71202
"UWS02-2","2","3",74,"IR70358-84-1-1",74,109,105,574.8,33.3507,1.79879
"UWS02-2","2","3",75,"IR55419-04",83,109,105,813.9,42.3434,2.15558
"UWS02-2","2","3",76,"IR68702-072-1-4-B",80,109,125,827.93,33.1468,2.16792
"UWS02-2","2","3",77,"UPLRI-5",94,120,115,1042.5,34.948,2.3083
