"Env","Rep","Block","Plot","Geno","Yield"
"UDS02-14","3","1",93,"IR70360-38-1-B-1",46.67
"UDS02-14","3","1",94,"WAB96-1-1",22.22
"UDS02-14","3","1",95,"IR66421-062-1-1-",55.56
"UDS02-14","3","1",96,"IR72768-15-1-1",131.11
"UDS02-14","3","1",97,"IR65907-116-1-B",93.33
"UDS02-14","3","1",98,"IR47686-30-3-2",22.22
"UDS02-14","3","1",99,"UPLRI-5",44.44
"UDS02-14","3","2",100,"IRAT170",40
"UDS02-14","3","2",101,"CT6516-24-3-2",40
"UDS02-14","3","2",102,"IR55423-01",135.56
"UDS02-14","3","2",103,"IR72",111.11
"UDS02-14","3","2",104,"AUS196",111.11
"UDS02-14","3","2",105,"IR71524-44-1-1",82.22
"UDS02-14","3","2",106,"AZUCENA",40
"UDS02-14","3","2",107,"WAB56-125",153.33
"UDS02-14","3","2",108,"IR71525-19-1-1",102.22
"UDS02-14","3","2",109,"WAB181-18",117.78
"UDS02-14","3","2",110,"MARAVILHA",60
"UDS02-14","3","3",111,"IR60080-46A",117.78
"UDS02-14","3","3",112,"IR68702-072-1-4-",55.56
"UDS02-14","3","3",113,"UPLRI-7",97.78
"UDS02-14","3","3",114,"CT13382-8-3-M",42.22
"UDS02-14","3","3",115,"CT13370-12-2-M",46.67
"UDS02-14","3","3",116,"IRAT177",35.56
"UDS02-14","3","3",117,"DINORADO",33.33
"UDS02-14","3","3",118,"IRAT212",140
"UDS02-14","3","3",119,"PSBRC82",48.89
"UDS02-14","3","3",120,"IR66417-18-1-1-1",62.22
"UDS02-14","3","3",121,"CT6510-24-1-2",64.44
"UDS02-14","3","4",122,"IR64",8.89
"UDS02-14","3","4",123,"IR65261-09-1-B",8.89
"UDS02-14","3","4",124,"PRIMAVERA",57.78
"UDS02-14","3","4",125,"WAYRAREM",8.89
"UDS02-14","3","4",126,"IR66424-1-2-1-5",102.22
"UDS02-14","3","4",127,"IR70358-84-1-1",111.11
"UDS02-14","3","4",128,"IR55419-04",40
"UDS02-14","3","4",129,"IRAT216",35.33
"UDS02-14","3","4",130,"PSBRC80",46.67
"UDS02-14","3","4",131,"VANDANA",160
"UDS02-14","3","4",132,"CT13377-4-2-M",6.67
